"","sector_economico_4","n()","sum(as.numeric(asegurados))","sum(as.numeric(no_trabajadores))","descriptores_subsector4","periodo"
"85","4101",63817,326156,0,"Edificación (excepto obra pública)","2021-12-31"
"86","4102",153364,893005,0,"Infraestructura y obra pública","2021-12-31"
"87","4201",51157,200661,0,"Instalaciones sanitarias","2021-12-31"
"88","4202",5379,10839,0,"Ascensores y transporte","2021-12-31"
"89","4203",16980,48186,0,"Herrería","2021-12-31"
"90","4204",31454,113020,0,"Otros","2021-12-31"
"91","4101",55743,339804,0,"Edificación (excepto obra pública)","2022-01-31"
"92","4102",136269,912968,0,"Infraestructura y obra pública","2022-01-31"
"93","4201",45013,201284,0,"Instalaciones sanitarias","2022-01-31"
"94","4202",5021,10570,0,"Ascensores y transporte","2022-01-31"
"95","4203",14437,47940,0,"Herrería","2022-01-31"
"96","4204",27468,114061,0,"Otros","2022-01-31"
"97","4101",65195,345955,0,"Edificación (excepto obra pública)","2022-02-28"
"98","4102",152423,929589,0,"Infraestructura y obra pública","2022-02-28"
"99","4201",51316,202960,0,"Instalaciones sanitarias","2022-02-28"
"100","4202",5353,10746,0,"Ascensores y transporte","2022-02-28"
"101","4203",17189,48188,0,"Herrería","2022-02-28"
"102","4204",32383,115487,0,"Otros","2022-02-28"
"103","4101",65630,342821,0,"Edificación (excepto obra pública)","2022-03-31"
"104","4102",154142,928447,0,"Infraestructura y obra pública","2022-03-31"
"105","4201",51765,204129,0,"Instalaciones sanitarias","2022-03-31"
"106","4202",5464,10866,0,"Ascensores y transporte","2022-03-31"
"107","4203",17100,47810,0,"Herrería","2022-03-31"
"108","4204",32569,115457,0,"Otros","2022-03-31"
"109","4101",66501,338029,0,"Edificación (excepto obra pública)","2022-04-30"
"110","4102",154369,925180,0,"Infraestructura y obra pública","2022-04-30"
"111","4201",52038,204666,0,"Instalaciones sanitarias","2022-04-30"
"112","4202",5510,10850,0,"Ascensores y transporte","2022-04-30"
"113","4203",17231,47884,0,"Herrería","2022-04-30"
"114","4204",32667,115642,0,"Otros","2022-04-30"
"115","4101",67533,330962,0,"Edificación (excepto obra pública)","2022-05-31"
"116","4102",156433,932398,0,"Infraestructura y obra pública","2022-05-31"
"117","4201",52471,206658,0,"Instalaciones sanitarias","2022-05-31"
"118","4202",5487,10811,0,"Ascensores y transporte","2022-05-31"
"119","4203",17464,47962,0,"Herrería","2022-05-31"
"120","4204",33060,117454,0,"Otros","2022-05-31"
"121","4101",67790,332740,0,"Edificación (excepto obra pública)","2022-06-30"
"122","4102",157880,943488,0,"Infraestructura y obra pública","2022-06-30"
"123","4201",52892,209902,0,"Instalaciones sanitarias","2022-06-30"
"124","4202",5507,10938,0,"Ascensores y transporte","2022-06-30"
"125","4203",17630,48503,0,"Herrería","2022-06-30"
"126","4204",33562,119585,0,"Otros","2022-06-30"
